task_id,severity,issue_code,detail,trial_path
adaptive-rejection-sampler,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5
circuit-fibsqrt,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C
dna-assembly,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-30-00/dna-assembly__eBo7G6H
extract-moves-from-video,warning,missing_ctrf,numeric reward exists but verifier/ctrf.json is missing or invalid,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/extract-moves-from-video__Kn9TUHU
feal-linear-cryptanalysis,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__01-51-36/feal-linear-cryptanalysis__Xs63wkT
gpt2-codegolf,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__16-27-47/gpt2-codegolf__drvhmQJ
largest-eigenval,warning,controller_deadline_inferred,timeout is inferred from an incomplete running retry report plus duration near the configured deadline,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3
largest-eigenval,warning,retry_report_incomplete,stream-transport retry report was not finalized,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3
largest-eigenval,warning,token_input_only,"session input is observed, but fresh/cache/output split is unavailable",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3
make-doom-for-mips,warning,controller_deadline_inferred,timeout is inferred from an incomplete running retry report plus duration near the configured deadline,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__12-26-04/make-doom-for-mips__LTHmSGk
make-doom-for-mips,warning,matrixone_local_trace_delta,retained MatrixOne session input differs from local context trace; server-side response rows are canonical,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__12-26-04/make-doom-for-mips__LTHmSGk
make-doom-for-mips,warning,retry_report_incomplete,stream-transport retry report was not finalized,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__12-26-04/make-doom-for-mips__LTHmSGk
make-mips-interpreter,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__10-22-52/make-mips-interpreter__3pmWNgQ
model-extraction-relu-logits,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-47-16/model-extraction-relu-logits__S8Ng7R3
polyglot-rust-c,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__23-38-33/polyglot-rust-c__MxGEeoh
qemu-startup,warning,controller_deadline_inferred,timeout is inferred from an incomplete running retry report plus duration near the configured deadline,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__15-19-11/qemu-startup__qvWN54g
qemu-startup,warning,matrixone_local_trace_delta,retained MatrixOne session input differs from local context trace; server-side response rows are canonical,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__15-19-11/qemu-startup__qvWN54g
qemu-startup,warning,retry_report_incomplete,stream-transport retry report was not finalized,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__15-19-11/qemu-startup__qvWN54g
regex-log,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-21-07/regex-log__jhTUvrD
video-processing,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-35-33/video-processing__dmjKwBT
write-compressor,warning,fallback_timeout_config_mismatch,"configured fallback timeout 600s, but explicit runtime evidence reports [120.0]",/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-09-45/write-compressor__hXHvyBd
