source_root,task_id,task_name,trial_name,batch_path,raw_relative_path,trajectory_kind,trajectory_relative_path,manifest_relative_path,manifest_sha256,session_id,run_id,trajectory_status,product_terminal_status,trajectory_event_count,trajectory_file_count,verifier_reward,started_at,finished_at
astra-c0-rerun-from-scratch-33,prove-plus-comm,terminal-bench/prove-plus-comm,prove-plus-comm__SzTd7Gm,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-14-02,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-14-02/prove-plus-comm__SzTd7Gm,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-14-02/prove-plus-comm__SzTd7Gm/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-14-02/prove-plus-comm__SzTd7Gm/agent/astra-trajectory/manifest.json,6ef1eb51fe7b9d60b92844cffe6c61572c17e5c9378cec5b3b5d6392cf46ddb0,c29d5fa7-d4f4-4420-9947-15cebec15f94,27bf5494-1ca5-45b0-805f-7a37a71df7bf,partial,completed,24,6,1,2026-07-31T07:14:03.477354Z,2026-07-31T07:16:07.500113Z
astra-c0-rerun-from-scratch-33,regex-log,terminal-bench/regex-log,regex-log__jhTUvrD,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-21-07,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-21-07/regex-log__jhTUvrD,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-21-07/regex-log__jhTUvrD/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-21-07/regex-log__jhTUvrD/agent/astra-trajectory/manifest.json,df74c37e2f4db0ccefcc591a1a47d0721c5eef40ad078566b74151c869865b00,ad2ad518-3b60-48d4-bb1a-16aa5b978449,90a8f6dd-4b4e-4737-a4cd-39d0444d49e1,complete,failed,104,5,0,2026-07-31T07:21:07.861918Z,2026-07-31T07:50:51.418332Z
astra-c0-rerun-from-scratch-33,pytorch-model-recovery,terminal-bench/pytorch-model-recovery,pytorch-model-recovery__azBUTrz,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-58-00,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-58-00/pytorch-model-recovery__azBUTrz,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-58-00/pytorch-model-recovery__azBUTrz/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__15-58-00/pytorch-model-recovery__azBUTrz/agent/astra-trajectory/manifest.json,f73da6ee1f12b3c6f43ea53126bfd7175972efb192ed362701cbf27e34d03133,a52bf9f3-9ea9-4e4e-9a18-8566319f1b33,fa362911-124e-4af2-9287-34981c36084a,partial,completed,54,6,1,2026-07-31T07:58:01.065191Z,2026-07-31T08:04:24.684806Z
astra-c0-rerun-from-scratch-33,build-pov-ray,terminal-bench/build-pov-ray,build-pov-ray__92VcxjZ,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ/agent/astra-trajectory/manifest.json,4a3faa99b083a90497e4ce896fe7256bbbf476b3cc52912174422bcb7aa9b025,9c1b45ce-81ad-4c52-a97b-008c3ce39174,6e4c54b7-3ac4-49ad-95df-ed3ab2eda815,partial,completed,321,9,0,2026-07-31T08:04:30.260785Z,2026-07-31T08:31:13.987135Z
astra-c0-rerun-from-scratch-33,sanitize-git-repo,terminal-bench/sanitize-git-repo,sanitize-git-repo__SSazd8e,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-31-42,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-31-42/sanitize-git-repo__SSazd8e,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-31-42/sanitize-git-repo__SSazd8e/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-31-42/sanitize-git-repo__SSazd8e/agent/astra-trajectory/manifest.json,2c47c8d20dcaaf5e9075f04a43566c7f9a10f918431766231773ee319571f410,aa2fb1fe-3eac-4e38-acee-f0cea1ea5031,389300f0-66fd-4d57-b6b7-23d30530918d,partial,completed,87,6,1,2026-07-31T08:31:42.909732Z,2026-07-31T08:47:31.528667Z
astra-c0-rerun-from-scratch-33,adaptive-rejection-sampler,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__zWvbxZ5,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5/agent/astra-trajectory/manifest.json,911fc4f25d7b686028ffb91d6a4c68f89ce2a6636d867035ee273e305c67716f,22b601cf-b072-4388-b673-80957ff0558d,f77363d4-dafb-4129-9ba8-b9585315f982,complete,failed,178,5,0,2026-07-31T08:47:37.024402Z,2026-07-31T09:23:24.017794Z
astra-c0-rerun-from-scratch-33,kv-store-grpc,terminal-bench/kv-store-grpc,kv-store-grpc__DmHsvDp,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__17-23-32,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__17-23-32/kv-store-grpc__DmHsvDp,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__17-23-32/kv-store-grpc__DmHsvDp/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__17-23-32/kv-store-grpc__DmHsvDp/agent/astra-trajectory/manifest.json,a4feaad5ed58699c328fe304bdfacc78803d7e9c557373a561eb4ff46345d448,8363daab-88bf-4ce9-b3ab-84c4067e09a1,bc198a36-86e8-4bab-9c2b-f401b97e0e43,complete,adapter_infra_error,73,7,0,2026-07-31T09:23:32.928998Z,2026-07-31T09:27:48.527816Z
astra-c0-rerun-from-scratch-33,query-optimize,terminal-bench/query-optimize,query-optimize__adjqfHX,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__18-17-32,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__18-17-32/query-optimize__adjqfHX,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__18-17-32/query-optimize__adjqfHX/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__18-17-32/query-optimize__adjqfHX/agent/astra-trajectory/manifest.json,0be940bcf967bc85fc1f8ed5c3315992b401b2755022e49020c22f198f227b5f,2142d58a-24dd-44e3-a5c9-c087a9025378,00632441-a4ce-4d26-b719-46aabfa187a4,partial,completed,46,6,1,2026-08-02T10:17:33.003668Z,2026-08-02T14:30:10.060887Z
astra-c0-rerun-from-scratch-33,fix-code-vulnerability,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__tbMh9mH,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-30-14,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-30-14/fix-code-vulnerability__tbMh9mH,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-30-14/fix-code-vulnerability__tbMh9mH/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-30-14/fix-code-vulnerability__tbMh9mH/agent/astra-trajectory/manifest.json,cbce6d957fab48366964dd7f3bfd01a786e61b4b38bff2d2b97c38c4d318cd2c,af0f8379-c2f3-43d4-92fd-b614b0be16cf,b658e8ad-adf5-4498-b6b7-66bfbdd3a26f,partial,completed,163,7,1,2026-08-02T14:30:15.012219Z,2026-08-02T14:44:27.651547Z
astra-c0-rerun-from-scratch-33,largest-eigenval,terminal-bench/largest-eigenval,largest-eigenval__YbDJnJ3,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3,astra-session-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3/agent/astra-trajectory,astra/runs/astra-c0-rerun-from-scratch-33/jobs/2026-08-02__22-44-31/largest-eigenval__YbDJnJ3/agent/astra-trajectory/manifest.json,e13e73ae74a5680ae2cb8418bbb139a59e8f3ed2516bbab161098fad9e2ec265,c133c1e0-4b4a-483b-8a84-6589ca47d702,5273bb4e-d8ed-46d9-975a-10332d6ea848,complete,adapter_infra_error,154,10,1,2026-08-02T14:44:32.537793Z,2026-08-02T15:18:46.980646Z
